Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,__amd_rocclr_fillBufferAligned.kd,2,0,0,3225791,3225791,256,256,0,0,8,8,32,64,0x0,0x7f1cc591d900,34077,34077,4,21,51,6596,7145475001611551,7145478267363104,7145478267370464,7145475009195354
1,__amd_rocclr_fillBufferAligned.kd,2,0,1,3225791,3225791,256,256,0,0,8,8,32,64,0x0,0x7f1cc591d900,13544,13544,4,21,16,2168,7145475009072656,7145478267370464,7145478267377344,7145475009433134
2,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<256, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 512, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,2,3225791,3225791,59136,256,512,0,64,64,32,64,0x0,0x7f1cc57e4e00,39177,39177,924,120120,112569,14422088,7145475009767534,7145478267830622,7145478267846782,7145475009895821
3,__amd_rocclr_fillBufferAligned.kd,2,0,4,3225791,3225791,256,256,0,0,8,8,32,64,0x0,0x7f1cc591d900,35899,35899,4,21,49,6620,7145475014769492,7145478272912382,7145478272921982,7145475014903811
4,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<256, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 512, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,5,3225791,3225791,59136,256,512,0,64,64,32,64,0x0,0x7f1cc57e4e00,46506,46506,924,120120,131368,16814584,7145475014873765,7145478272921982,7145478272937502,7145475015019325
5,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<256, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 512, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,8,3225791,3225791,59136,256,512,0,64,64,32,64,0x0,0x7f1cc57e4e00,27359,27359,924,120120,15165,1922124,7145475015031457,7145478272963262,7145478272972542,7145475015193378
6,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<256, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 512, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,9,3225791,3225791,59136,256,512,0,64,64,32,64,0x0,0x7f1cc57e4e00,25143,25143,924,120120,14911,1922144,7145475015175234,7145478272972542,7145478272979262,7145475015289676
7,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<256, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 512, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,10,3225791,3225791,59136,256,512,0,64,64,32,64,0x0,0x7f1cc57e4e00,25073,25073,924,120120,15088,1922204,7145475015270540,7145478272979262,7145478272986142,7145475015468648
8,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<256, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 512, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,11,3225791,3225791,59136,256,512,0,64,64,32,64,0x0,0x7f1cc57e4e00,30228,30228,924,120120,15028,1922040,7145475015452027,7145478272986142,7145478272992862,7145475015559696
9,"void kernel_tsmm_dl_v1r3<GridwiseTsmmDl_km_kn_mn, _Float16, _Float16, (InMemoryDataOperationEnum)1, false, false, BlockToCTileMap_3DGrid_KSplit>(GridwiseTsmmDl_km_kn_mn<256, _Float16, float, _Float16, RowMajor, RowMajor, RowMajor, (GemmSpecialization)4, 16, 512, 4, 2, 16, 2, 1, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, Sequence, 3, 2, Sequence, 5, Argument) (kd)",2,0,12,3225791,3225791,59136,256,512,0,64,64,32,64,0x0,0x7f1cc57e4e00,25369,25369,924,120120,14892,1922104,7145475015528559,7145478272992862,7145478272999582,7145475015733488
